region,warehouse,cluster,drug_type,allocation_frac,allocated_units,unit_cost,route_cost
Giresun,GC1,Cluster 1,cold,1.0,5670.0,6.45,36571.5
Giresun,GC1,Cluster 2,cold,1.0,5315.0,6.45,34281.75
Giresun,GC1,Cluster 3,cold,1.0,2197.0,6.45,14170.65
Giresun,GC1,Cluster 4,cold,1.0,1276.0,6.45,8230.2
Giresun,GC1,Cluster 5,cold,1.0,3118.0,6.45,20111.1
Giresun,GC1,Cluster 1,critical_cold,1.0,472.0,6.45,3044.4
Giresun,GC1,Cluster 2,critical_cold,1.0,483.0,6.45,3115.35
Giresun,GC1,Cluster 3,critical_cold,1.0,191.0,6.45,1231.95
Giresun,GC1,Cluster 4,critical_cold,1.0,90.0,6.45,580.5
Giresun,GC1,Cluster 5,critical_cold,1.0,292.0,6.45,1883.4
Giresun,GC1,Cluster 1,normal,1.0,703704.0,6.45,4538890.8
Giresun,GC1,Cluster 2,normal,1.0,654118.5,6.45,4219064.33
Giresun,GC1,Cluster 3,normal,1.0,271564.5,6.45,1751591.03
Giresun,GC1,Cluster 4,normal,1.0,160575.0,6.45,1035708.75
Giresun,GC1,Cluster 5,normal,1.0,382554.0,6.45,2467473.3
Ordu,OC1,Cluster 1,cold,1.0,13125.0,0.44999999999999996,5906.25
Ordu,OC1,Cluster 2,cold,1.0,3449.0,0.44999999999999996,1552.05
Ordu,OC1,Cluster 3,cold,1.0,1738.5,0.44999999999999996,782.32
Ordu,OC1,Cluster 4,cold,1.0,772.0,0.44999999999999996,347.4
Ordu,OC1,Cluster 5,cold,1.0,5293.0,0.44999999999999996,2381.85
Ordu,OC1,Cluster 1,critical_cold,1.0,1167.0,0.44999999999999996,525.15
Ordu,OC1,Cluster 2,critical_cold,1.0,317.0,0.44999999999999996,142.65
Ordu,OC1,Cluster 3,critical_cold,1.0,177.0,0.44999999999999996,79.65
Ordu,OC1,Cluster 4,critical_cold,1.0,110.0,0.44999999999999996,49.5
Ordu,OC1,Cluster 5,critical_cold,1.0,451.0,0.44999999999999996,202.95
Ordu,OC1,Cluster 1,normal,1.0,1937426.0,0.44999999999999996,871841.7
Ordu,OC1,Cluster 2,normal,1.0,489215.25,0.44999999999999996,220146.86
Ordu,OC1,Cluster 3,normal,1.0,283439.0,0.44999999999999996,127547.55
Ordu,OC1,Cluster 4,normal,1.0,136104.0,0.44999999999999996,61246.8
Ordu,OC1,Cluster 5,normal,1.0,774081.0,0.44999999999999996,348336.45
Rize,RC0,Cluster 1,cold,1.0,3304.0,13.35,44108.4
Rize,RC0,Cluster 2,cold,1.0,1938.5,13.35,25878.97
Rize,RC0,Cluster 3,cold,1.0,1048.5,13.35,13997.48
Rize,RC0,Cluster 4,cold,1.0,890.0,13.35,11881.5
Rize,RC0,Cluster 5,cold,1.0,1207.0,13.35,16113.45
Rize,RC0,Cluster 1,critical_cold,1.0,224.0,13.35,2990.4
Rize,RC0,Cluster 2,critical_cold,1.0,146.0,13.35,1949.1
Rize,RC0,Cluster 3,critical_cold,1.0,74.0,13.35,987.9
Rize,RC0,Cluster 4,critical_cold,1.0,72.0,13.35,961.2
Rize,RC0,Cluster 5,critical_cold,1.0,76.0,13.35,1014.6
Rize,RC0,Cluster 1,normal,1.0,514170.0,13.35,6864169.5
Rize,RC0,Cluster 2,normal,1.0,302130.0,13.35,4033435.5
Rize,RC0,Cluster 3,normal,1.0,163260.0,13.35,2179521.0
Rize,RC0,Cluster 4,normal,1.0,138870.0,13.35,1853914.5
Rize,RC0,Cluster 5,normal,1.0,187650.0,13.35,2505127.5
Trabzon,TC1,Cluster 1,cold,1.0,9076.0,6.75,61263.0
Trabzon,TC1,Cluster 2,cold,1.0,3211.0,6.75,21674.25
Trabzon,TC1,Cluster 3,cold,1.0,6051.5,6.75,40847.62
Trabzon,TC1,Cluster 4,cold,1.0,2468.0,6.75,16659.0
Trabzon,TC1,Cluster 5,cold,1.0,4651.0,6.75,31394.25
Trabzon,TC1,Cluster 1,critical_cold,1.0,723.0,6.75,4880.25
Trabzon,TC1,Cluster 2,critical_cold,1.0,276.75,6.75,1868.06
Trabzon,TC1,Cluster 3,critical_cold,1.0,471.5,6.75,3182.62
Trabzon,TC1,Cluster 4,critical_cold,1.0,199.0,6.75,1343.25
Trabzon,TC1,Cluster 5,critical_cold,1.0,348.0,6.75,2349.0
Trabzon,TC2,Cluster 1,normal,1.0,1340109.0,1.5,2010163.5
Trabzon,TC2,Cluster 2,normal,1.0,422543.5,1.5,633815.25
Trabzon,TC2,Cluster 3,normal,1.0,917295.0,1.5,1375942.5
Trabzon,TC2,Cluster 4,normal,1.0,297798.0,1.5,446697.0
Trabzon,TC2,Cluster 5,normal,1.0,759041.0,1.5,1138561.5
