region,drug_type,base_demand,base_capacity,shortage_probability,expected_shortage,worst_case_shortage_p95,worst_case_shortage_p99,mean_demand_sim,mean_capacity_sim
Giresun,total,2737783.0,4980809.0,0.0915,19262.9764,164317.616,404596.1621,3288446.1279,4120981.9503
Rize,total,2019453.0,3902085.0,0.037,3659.5894,0.0,135089.6518,2425214.5175,3217983.4132
Ordu,total,4845549.25,15012048.0,0.0,0.0,0.0,0.0,5791746.7311,12389911.8372
Trabzon,total,4969405.5,14103559.0,0.0,0.0,0.0,0.0,5950225.1437,11584245.5857
Giresun,cold,17576.0,40224.0,0.0,0.0,0.0,0.0,21133.4976,33129.0903
Ordu,cold,24377.5,87162.0,0.0,0.0,0.0,0.0,29357.1895,72037.8501
Rize,cold,8388.0,21005.0,0.0,0.0,0.0,0.0,10052.2928,17271.4713
Trabzon,cold,25457.5,96884.0,0.0,0.0,0.0,0.0,30570.2086,79905.0003
Giresun,normal,2172516.0,4959943.0,0.0,0.0,0.0,0.0,2603093.7467,4100510.8819
Ordu,normal,3620265.25,14924373.0,0.0,0.0,0.0,0.0,4350243.3133,12244774.4849
Rize,normal,1306080.0,3271726.0,0.0,0.0,0.0,0.0,1569878.5997,2706040.2458
Trabzon,normal,3736786.5,14007080.0,0.0,0.0,0.0,0.0,4487059.7824,11585524.9211
Giresun,critical_cold,1528.0,3544.0,0.0,0.0,0.0,0.0,1837.5068,2924.3605
Ordu,critical_cold,2222.0,13559.0,0.0,0.0,0.0,0.0,2665.046,11206.3993
Rize,critical_cold,592.0,1479.0,0.0,0.0,0.0,0.0,709.6515,1216.2369
Trabzon,critical_cold,2018.25,7736.0,0.0,0.0,0.0,0.0,2422.821,6375.8568
Giresun,critical_normal,229748.0,525996.0,0.0,0.0,0.0,0.0,276937.8837,436014.3208
Ordu,critical_normal,356256.25,1491660.0,0.0,0.0,0.0,0.0,427345.6893,1229443.6458
Rize,critical_normal,135360.0,339074.0,0.0,0.0,0.0,0.0,162591.5945,279167.5707
Trabzon,critical_normal,369197.75,1384007.0,0.0,0.0,0.0,0.0,443586.4175,1137054.5709
